SKU,NAME,Est. Monthly,MAX,January-20,February-20,March-20,April-20,May-20,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,Vendor,Case Lot,Category
B000009,Kilo Fruit Whip 2x60ml 3MG,13,21,21,5,0,0,0,0,0,0,0,0,0,0,0,Kilo,,E-liquid
B000010,Kilo Fruit Whip 2x60ml 6MG,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Kilo,,E-liquid
B000012,Kilo Cereal Milk 2x60ml 3MG,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,Kilo,,E-liquid
B000021,Kilo Tru Blue 2x60ml 3MG,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,Kilo,,E-liquid
B000022,Kilo Tru Blue 2x60ml 6MG,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,Kilo,,E-liquid
B000024,Chubby Bubble Vapes Bubble Strawberry 2x60ml 3MG,4,5,5,0,2,0,0,0,0,0,0,0,0,0,0,Chubby Bubble Vapes,,E-liquid
B000025,Chubby Bubble Vapes Bubble Strawberry 2x60ml 6MG,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Chubby Bubble Vapes,,E-liquid
B000026,Chubby Bubble Vapes Bubble Purp 2x60ml 3MG,41,61,61,0,21,0,0,0,0,0,0,0,0,0,0,Chubby Bubble Vapes,,E-liquid
B000027,Chubby Bubble Vapes Bubble Purp 2x60ml 0MG,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,Chubby Bubble Vapes,,E-liquid
B000028,Chubby Bubble Vapes Bubble Purp 2x60ml 6MG,4,7,7,3,0,1,0,0,0,0,0,0,0,0,0,Chubby Bubble Vapes,,E-liquid
B000029,Chubby Bubble Vapes Bubble Razz 2x60ml 0MG,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,Chubby Bubble Vapes,,E-liquid
B000030,Chubby Bubble Vapes Bubble Razz 2x60ml 3MG,14,23,15,23,5,0,0,0,0,0,0,0,0,0,0,Chubby Bubble Vapes,,E-liquid
B000031,Chubby Bubble Vapes Bubble Razz 2x60ml 6MG,7,14,14,2,4,0,0,0,0,0,0,0,0,0,0,Chubby Bubble Vapes,,E-liquid
B000032,VGOD Luscious 2x60ml 0MG,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,VGOD,,E-liquid
B000033,VGOD Luscious 2x60ml 3MG,4,10,10,2,1,0,0,0,0,0,0,0,0,0,0,VGOD,,E-liquid
B000035,VGOD Lush ICE 2x60ml 0MG,4,5,5,3,0,0,4,0,0,0,0,0,0,0,0,VGOD,,E-liquid
B000036,VGOD Lush ICE 2x60ml 3MG,7,14,10,14,3,2,5,0,0,0,0,0,0,0,0,VGOD,,E-liquid
